Date,Activity,Group,Duration,Distance,Steps,Calories
3/1/14,walking,walking,1867,1.226,2898,128
3/1/14,transport,transport,2273,6.910,0,0
3/2/14,transport,transport,1369,1.409,0,0
3/2/14,walking,walking,414,0.318,779,33
3/4/14,walking,walking,2095,1.578,3286,165
3/4/14,bus,transport,284,0.608,0,0
3/4/14,underground,transport,2132,6.710,0,0
3/4/14,train,transport,26526,446.269,0,0
3/5/14,walking,walking,6261,4.223,9025,442
3/6/14,walking,walking,4130,2.929,6594,307
3/7/14,walking,walking,5919,3.908,8953,409
3/7/14,underground,transport,840,4.058,0,0
3/8/14,walking,walking,4121,3.005,6521,315
3/9/14,walking,walking,2509,1.787,4147,187
3/10/14,walking,walking,3189,2.516,5153,264
3/11/14,walking,walking,4371,3.283,7328,344
3/12/14,walking,walking,4730,3.047,7163,319
3/12/14,transport,transport,2179,7.896,0,0
3/13/14,walking,walking,3883,2.825,6147,296
3/14/14,airplane,transport,4386,460.602,0,0
3/14/14,car,transport,1184,3.926,0,0
3/14/14,transport,transport,148,0.301,0,0
3/14/14,underground,transport,3410,12.656,0,0
3/14/14,walking,walking,6425,4.721,10110,495
3/15/14,walking,walking,5357,3.735,8301,391
3/15/14,transport,transport,720,0.805,0,0
3/16/14,walking,walking,2485,1.536,3481,161
3/17/14,walking,walking,1698,0.800,2321,84
3/17/14,car,transport,546,2.105,0,0
3/17/14,bus,transport,616,1.468,0,0
3/18/14,walking,walking,3770,2.479,6004,260
3/18/14,bus,transport,1051,2.343,0,0
3/18/14,underground,transport,3114,12.434,0,0
3/18/14,airplane,transport,4693,458.632,0,0
3/19/14,walking,walking,3095,2.379,5025,249
3/20/14,walking,walking,4123,2.843,6284,298
3/21/14,walking,walking,3964,2.741,5441,287
3/21/14,transport,transport,8278,90.136,0,0
3/22/14,walking,walking,1723,1.182,2696,124
3/23/14,walking,walking,1921,1.415,3121,148
3/24/14,walking,walking,3543,2.686,5531,281
3/25/14,walking,walking,3639,2.298,5163,241
3/25/14,transport,transport,3345,36.534,0,0
3/26/14,walking,walking,4864,3.237,7501,339
3/26/14,transport,transport,17316,260.870,0,0
3/27/14,walking,walking,2611,1.603,3683,168
3/27/14,transport,transport,15183,938.555,0,0
3/28/14,walking,walking,1641,1.041,2414,109
3/28/14,transport,transport,1624,9.253,0,0
3/29/14,walking,walking,2769,1.752,3940,184
3/29/14,transport,transport,3264,18.668,0,0
3/30/14,walking,walking,3242,2.004,4726,210
3/30/14,transport,transport,5717,57.191,0,0
3/31/14,walking,walking,6527,5.154,10121,540
3/31/14,transport,transport,12131,92.230,0,0
