Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/22/14,walking,walking,2014-09-22T05:24:37-05:00,2014-09-22T05:25:07-05:00,30,0.016,51,2
9/22/14,walking,walking,2014-09-22T06:19:51-05:00,2014-09-22T06:31:06-05:00,675,0.534,1121,56
9/22/14,walking,walking,2014-09-22T06:34:52-05:00,2014-09-22T06:51:01-05:00,969,0.811,1690,85
9/22/14,walking,walking,2014-09-22T10:21:30-05:00,2014-09-22T10:25:21-05:00,231,0.165,308,17
9/22/14,walking,walking,2014-09-22T11:18:20-05:00,2014-09-22T11:25:12-05:00,412,0.331,709,35
9/22/14,walking,walking,2014-09-22T12:13:00-05:00,2014-09-22T12:18:30-05:00,330,0.208,447,22
9/22/14,walking,walking,2014-09-22T13:48:09-05:00,2014-09-22T13:50:39-05:00,150,0.076,163,8
9/22/14,walking,walking,2014-09-22T13:52:05-05:00,2014-09-22T13:52:55-05:00,50,0.063,84,7
9/22/14,walking,walking,2014-09-22T13:52:55-05:00,2014-09-22T13:56:10-05:00,195,0.149,320,16
9/22/14,walking,walking,2014-09-22T14:59:24-05:00,2014-09-22T14:59:54-05:00,30,0.009,30,1
9/22/14,walking,walking,2014-09-22T15:01:27-05:00,2014-09-22T15:06:10-05:00,283,0.248,532,26
9/22/14,walking,walking,2014-09-22T15:07:57-05:00,2014-09-22T15:15:57-05:00,480,0.317,679,33
9/22/14,walking,walking,2014-09-22T16:00:13-05:00,2014-09-22T16:00:43-05:00,30,0.009,30,1
9/22/14,walking,walking,2014-09-22T17:49:08-05:00,2014-09-22T17:50:08-05:00,60,0.022,71,2
9/22/14,walking,walking,2014-09-22T19:03:46-05:00,2014-09-22T19:04:16-05:00,30,0.009,30,1
9/22/14,walking,walking,2014-09-22T19:38:58-05:00,2014-09-22T19:55:48-05:00,1010,1.330,1846,139
9/22/14,walking,walking,2014-09-22T19:58:13-05:00,2014-09-22T20:01:43-05:00,210,0.107,345,11
9/22/14,walking,walking,2014-09-22T20:06:11-05:00,2014-09-22T20:09:59-05:00,228,0.165,332,17
9/22/14,walking,walking,2014-09-22T20:15:14-05:00,2014-09-22T20:16:14-05:00,60,0.019,50,2
