Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/8/14,walking,walking,2014-12-08T05:22:59-06:00,2014-12-08T05:23:59-06:00,60,0.029,91,3
12/8/14,transport,transport,2014-12-08T11:48:17-06:00,2014-12-08T12:04:57-06:00,1000,0.994,0,0
12/8/14,walking,walking,2014-12-08T12:07:17-06:00,2014-12-08T12:08:17-06:00,60,0.019,61,2
12/8/14,walking,walking,2014-12-08T12:20:14-06:00,2014-12-08T12:26:52-06:00,398,0.126,404,13
12/8/14,walking,walking,2014-12-08T12:30:49-06:00,2014-12-08T12:33:19-06:00,150,0.114,244,12
12/8/14,walking,walking,2014-12-08T12:46:40-06:00,2014-12-08T13:06:09-06:00,1169,0.820,1568,86
12/8/14,walking,walking,2014-12-08T13:07:57-06:00,2014-12-08T13:08:27-06:00,30,0.012,41,1
12/8/14,walking,walking,2014-12-08T14:09:05-06:00,2014-12-08T14:13:35-06:00,270,0.217,467,23
12/8/14,walking,walking,2014-12-08T14:20:31-06:00,2014-12-08T14:31:37-06:00,666,0.603,1158,63
12/8/14,walking,walking,2014-12-08T14:36:37-06:00,2014-12-08T14:40:37-06:00,240,0.112,172,12
12/8/14,walking,walking,2014-12-08T15:02:44-06:00,2014-12-08T15:04:14-06:00,90,0.032,101,3
12/8/14,walking,walking,2014-12-08T17:32:56-06:00,2014-12-08T17:33:26-06:00,30,0.019,61,2
12/8/14,walking,walking,2014-12-08T17:35:54-06:00,2014-12-08T17:48:31-06:00,757,0.562,1300,59
12/8/14,walking,walking,2014-12-08T19:14:27-06:00,2014-12-08T19:14:57-06:00,30,0.012,41,1
12/8/14,walking,walking,2014-12-08T19:24:33-06:00,2014-12-08T19:37:08-06:00,755,0.547,1369,57
12/8/14,walking,walking,2014-12-08T21:43:52-06:00,2014-12-08T21:45:52-06:00,120,0.080,172,8
12/8/14,walking,walking,2014-12-08T22:51:17-06:00,2014-12-08T22:51:47-06:00,30,0.009,21,1
