Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/2/13,walking,walking,2013-12-02T08:14:33-06:00,2013-12-02T08:15:59-06:00,86,0.032,104,3
12/2/13,walking,walking,2013-12-02T11:40:57-06:00,2013-12-02T11:43:45-06:00,168,0.069,147,7
12/2/13,walking,walking,2013-12-02T14:30:25-06:00,2013-12-02T14:30:55-06:00,30,0.012,40,1
12/2/13,walking,walking,2013-12-02T19:06:35-06:00,2013-12-02T19:07:05-06:00,30,0.009,30,1
12/2/13,walking,walking,2013-12-02T20:00:53-06:00,2013-12-02T20:01:23-06:00,30,0.009,30,1
12/2/13,walking,walking,2013-12-02T21:40:23-06:00,2013-12-02T21:40:53-06:00,30,0.009,30,1
12/2/13,walking,walking,2013-12-02T22:35:17-06:00,2013-12-02T22:36:47-06:00,90,0.050,162,5
12/2/13,walking,walking,2013-12-02T23:00:34-06:00,2013-12-02T23:01:22-06:00,48,0.019,60,2
12/3/13,walking,walking,2013-12-03T08:03:44-06:00,2013-12-03T08:05:44-06:00,120,0.069,223,7
12/3/13,walking,walking,2013-12-03T09:00:35-06:00,2013-12-03T09:01:35-06:00,60,0.025,81,3
12/3/13,walking,walking,2013-12-03T10:04:28-06:00,2013-12-03T10:06:28-06:00,120,0.044,141,5
12/3/13,walking,walking,2013-12-03T11:05:01-06:00,2013-12-03T11:09:19-06:00,258,0.096,207,10
12/3/13,walking,walking,2013-12-03T12:56:03-06:00,2013-12-03T13:05:19-06:00,556,0.354,918,37
12/3/13,walking,walking,2013-12-03T13:05:24-06:00,2013-12-03T13:06:41-06:00,77,0.029,94,3
12/3/13,transport,transport,2013-12-03T13:26:30-06:00,2013-12-03T13:28:40-06:00,130,0.864,0,0
12/3/13,walking,walking,2013-12-03T13:28:50-06:00,2013-12-03T13:29:20-06:00,30,0.016,51,2
12/3/13,walking,walking,2013-12-03T14:00:00-06:00,2013-12-03T14:01:00-06:00,60,0.035,111,4
12/3/13,transport,transport,2013-12-03T14:01:35-06:00,2013-12-03T14:03:44-06:00,129,1.015,0,0
12/3/13,walking,walking,2013-12-03T14:13:44-06:00,2013-12-03T14:17:14-06:00,210,0.156,335,16
