Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/30/13,walking,walking,2013-12-30T03:37:47-06:00,2013-12-30T03:38:17-06:00,30,0.009,30,1
12/30/13,walking,walking,2013-12-30T09:18:38-06:00,2013-12-30T09:20:08-06:00,90,0.037,121,4
12/30/13,walking,walking,2013-12-30T10:47:07-06:00,2013-12-30T10:52:37-06:00,330,0.155,334,16
12/30/13,walking,walking,2013-12-30T11:00:07-06:00,2013-12-30T11:01:37-06:00,90,0.041,131,4
12/30/13,walking,walking,2013-12-30T11:53:16-06:00,2013-12-30T11:55:29-06:00,133,0.052,169,5
12/30/13,transport,transport,2013-12-30T11:55:29-06:00,2013-12-30T12:01:19-06:00,350,0.506,0,0
12/30/13,walking,walking,2013-12-30T12:01:18-06:00,2013-12-30T12:02:30-06:00,72,0.037,121,4
12/30/13,walking,walking,2013-12-30T13:31:08-06:00,2013-12-30T13:32:23-06:00,75,0.033,106,3
12/30/13,transport,transport,2013-12-30T13:32:23-06:00,2013-12-30T13:34:57-06:00,154,0.737,0,0
12/30/13,walking,walking,2013-12-30T13:59:13-06:00,2013-12-30T13:59:43-06:00,30,0.016,51,2
12/30/13,walking,walking,2013-12-30T14:19:56-06:00,2013-12-30T14:22:56-06:00,180,0.151,324,16
12/30/13,walking,walking,2013-12-30T15:03:05-06:00,2013-12-30T15:07:44-06:00,279,0.110,236,12
12/30/13,walking,walking,2013-12-30T16:00:00-06:00,2013-12-30T16:00:41-06:00,41,0.011,34,1
12/30/13,walking,walking,2013-12-30T17:53:16-06:00,2013-12-30T17:53:46-06:00,30,0.016,51,2
12/30/13,walking,walking,2013-12-30T18:40:09-06:00,2013-12-30T18:41:39-06:00,90,0.038,122,4
12/30/13,walking,walking,2013-12-30T20:05:11-06:00,2013-12-30T20:06:11-06:00,60,0.029,91,3
12/30/13,walking,walking,2013-12-30T21:16:33-06:00,2013-12-30T21:17:03-06:00,30,0.006,20,1
